transaction_id,posting_date,fiscal_year,fiscal_quarter,cost_center,department,expense_category,vendor_name,actual_amount_usd,payment_status
TXN-202500001,2025-04-17,2025,Q2,CC-200,Marketing,Paid Performance Ads,Google Ads,83011.27,Settled
TXN-202500002,2025-04-09,2025,Q2,CC-700,Customer Success,Customer Advisory Board,Four Seasons Hotels,8371.35,Settled
TXN-202500003,2025-06-21,2025,Q2,CC-400,Operations,Professional Services,Deloitte Advisory,81708.72,Cleared
TXN-202500004,2025-10-13,2025,Q4,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,19071.2,Settled
TXN-202500005,2026-03-25,2026,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,94013.42,Cleared
TXN-202500006,2026-07-07,2026,Q3,CC-100,Engineering,Cloud Infrastructure,Amazon Web Services,49510.0,Cleared
TXN-202500007,2025-03-08,2025,Q1,CC-100,Engineering,DevOps Tooling,Docker Inc,2315.64,Settled
TXN-202500008,2026-05-02,2026,Q2,CC-500,Finance & Legal,External Audit & Tax,Ernst & Young,43540.34,Cleared
TXN-202500009,2026-06-20,2026,Q2,CC-300,Sales,Client Hospitality,OpenTable Concierge,4430.58,Cleared
TXN-202500010,2025-10-15,2025,Q4,CC-400,Operations,SaaS Licenses & ERP,Slack Enterprise,28690.31,Settled
TXN-202500011,2025-01-01,2025,Q1,CC-100,Engineering,Salaries & Contractors,Robert Half,110219.79,Settled
TXN-202500012,2025-01-21,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Four Seasons Hotels,25935.1,Settled
TXN-202500013,2026-01-27,2026,Q1,CC-500,Finance & Legal,External Audit & Tax,KPMG LLP,83918.72,Settled
TXN-202500014,2025-10-29,2025,Q4,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,11736.96,Cleared
TXN-202500015,2025-05-20,2025,Q2,CC-100,Engineering,DevOps Tooling,Sentry,1777.57,Settled
TXN-202500016,2025-05-09,2025,Q2,CC-100,Engineering,DevOps Tooling,Sentry,1007.45,Settled
TXN-202500017,2026-02-10,2026,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,19882.45,Audited
TXN-202500018,2025-07-25,2025,Q3,CC-300,Sales,CRM & Enablement Software,Gong.io,4562.35,Settled
TXN-202500019,2026-04-18,2026,Q2,CC-200,Marketing,Content & SEO Agencies,Semrush,5870.38,Cleared
TXN-202500020,2025-07-19,2025,Q3,CC-200,Marketing,Brand & Creative Assets,Figma Inc,2970.19,Cleared
TXN-202500021,2025-03-05,2025,Q1,CC-300,Sales,CRM & Enablement Software,Gong.io,27948.62,Cleared
TXN-202500022,2026-02-28,2026,Q1,CC-100,Engineering,Cloud Infrastructure,Google Cloud Platform,62324.96,Cleared
TXN-202500023,2025-04-11,2025,Q2,CC-200,Marketing,Brand & Creative Assets,Figma Inc,11523.67,Settled
TXN-202500024,2025-02-24,2025,Q1,CC-200,Marketing,Paid Performance Ads,Google Ads,118709.18,Audited
TXN-202500025,2025-12-09,2025,Q4,CC-200,Marketing,Events & Sponsorships,SaaStr Annual,57729.01,Settled
TXN-202500026,2025-08-17,2025,Q3,CC-400,Operations,Professional Services,McKinsey & Co,28164.49,Settled
TXN-202500027,2025-02-10,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,9734.71,Cleared
TXN-202500028,2025-02-28,2025,Q1,CC-300,Sales,Client Hospitality,Topgolf Events,1685.78,Settled
TXN-202500029,2026-03-28,2026,Q1,CC-300,Sales,Commissions & Incentives,Spiff Commission Engine,45121.08,Settled
TXN-202500030,2026-05-01,2026,Q2,CC-100,Engineering,Cloud Infrastructure,Snowflake Inc,47055.79,Cleared
TXN-202500031,2025-12-31,2025,Q4,CC-300,Sales,Commissions & Incentives,CaptivateIQ,28174.74,Settled
TXN-202500032,2026-05-08,2026,Q2,CC-100,Engineering,Hardware & Peripherals,Dell Direct,6329.08,Settled
TXN-202500033,2026-05-12,2026,Q2,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,99163.64,Settled
TXN-202500034,2025-08-10,2025,Q3,CC-600,Product & Design,UX Research & UserTesting,Maze Analytics,13148.64,Cleared
TXN-202500035,2025-02-14,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Four Seasons Hotels,19683.29,Audited
TXN-202500036,2026-05-26,2026,Q2,CC-500,Finance & Legal,Treasury & Bank Fees,Stripe Treasury,1704.59,Settled
TXN-202500037,2025-03-16,2025,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,21664.81,Settled
TXN-202500038,2025-02-19,2025,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,9563.74,Settled
TXN-202500039,2025-02-16,2025,Q1,CC-400,Operations,Office Facilities & Lease,CBRE Property Management,36178.03,Audited
TXN-202500040,2026-04-06,2026,Q2,CC-200,Marketing,Brand & Creative Assets,Figma Inc,11634.28,Cleared
TXN-202500041,2025-02-02,2025,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,159771.28,Settled
TXN-202500042,2025-11-28,2025,Q4,CC-200,Marketing,Events & Sponsorships,Web Summit,61885.08,Settled
TXN-202500043,2025-10-04,2025,Q4,CC-100,Engineering,Hardware & Peripherals,Dell Direct,17546.53,Settled
TXN-202500044,2025-06-23,2025,Q2,CC-600,Product & Design,UX Research & UserTesting,UserTesting Inc,1922.83,Cleared
TXN-202500045,2025-08-13,2025,Q3,CC-100,Engineering,Salaries & Contractors,Turing Tech Talent,65696.21,Settled
TXN-202500046,2026-02-19,2026,Q1,CC-300,Sales,Client Hospitality,Sweetgreen Enterprise Catering,2585.52,Audited
TXN-202500047,2025-03-03,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,8665.54,Settled
TXN-202500048,2025-09-29,2025,Q3,CC-300,Sales,Travel & Entertainment,Hilton Hotels,2688.95,Cleared
TXN-202500049,2025-02-23,2025,Q1,CC-300,Sales,Client Hospitality,Topgolf Events,4314.96,Settled
TXN-202500050,2026-01-28,2026,Q1,CC-100,Engineering,Cloud Infrastructure,Snowflake Inc,47920.13,Audited
TXN-202500051,2025-10-18,2025,Q4,CC-700,Customer Success,Ticketing & Support Tools,Intercom Systems,2472.84,Settled
TXN-202500052,2025-11-22,2025,Q4,CC-400,Operations,Office Facilities & Lease,WeWork Management,52392.95,Settled
TXN-202500053,2026-04-18,2026,Q2,CC-600,Product & Design,Prototyping Software,Miro Collaboration,826.3,Settled
TXN-202500054,2025-11-08,2025,Q4,CC-600,Product & Design,Prototyping Software,Miro Collaboration,3877.76,Settled
TXN-202500055,2026-03-24,2026,Q1,CC-300,Sales,Commissions & Incentives,CaptivateIQ,41320.88,Settled
TXN-202500056,2025-06-05,2025,Q2,CC-600,Product & Design,UX Research & UserTesting,Maze Analytics,2169.44,Settled
TXN-202500057,2025-12-08,2025,Q4,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,17056.14,Audited
TXN-202500058,2026-01-13,2026,Q1,CC-100,Engineering,Hardware & Peripherals,CDW Logistics,1611.45,Settled
TXN-202500059,2026-03-18,2026,Q1,CC-100,Engineering,DevOps Tooling,Datadog,16194.08,Cleared
TXN-202500060,2025-06-01,2025,Q2,CC-200,Marketing,Content & SEO Agencies,Omniscient Media,20603.89,Settled
TXN-202500061,2026-02-07,2026,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,2192.61,Cleared
TXN-202500062,2025-12-12,2025,Q4,CC-100,Engineering,Cloud Infrastructure,Snowflake Inc,11518.88,Settled
TXN-202500063,2025-10-21,2025,Q4,CC-500,Finance & Legal,External Audit & Tax,KPMG LLP,32264.54,Settled
TXN-202500064,2026-07-26,2026,Q3,CC-200,Marketing,Content & SEO Agencies,Semrush,20052.38,Settled
TXN-202500065,2025-04-19,2025,Q2,CC-200,Marketing,Content & SEO Agencies,Ahrefs Inc,6985.37,Cleared
TXN-202500066,2025-04-01,2025,Q2,CC-300,Sales,CRM & Enablement Software,HubSpot Enterprise,25470.18,Settled
TXN-202500067,2025-03-15,2025,Q1,CC-100,Engineering,DevOps Tooling,Datadog,6659.86,Settled
TXN-202500068,2025-10-07,2025,Q4,CC-500,Finance & Legal,Treasury & Bank Fees,JPMorgan Chase,2033.7,Cleared
TXN-202500069,2026-03-16,2026,Q1,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,45085.18,Settled
TXN-202500070,2025-08-17,2025,Q3,CC-700,Customer Success,Retention Swag & Gifting,SnackNation,5339.54,Settled
TXN-202500071,2026-07-07,2026,Q3,CC-400,Operations,Professional Services,McKinsey & Co,73288.78,Settled
TXN-202500072,2025-07-13,2025,Q3,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,12163.41,Cleared
TXN-202500073,2025-12-20,2025,Q4,CC-100,Engineering,Salaries & Contractors,Adecco Staffing,84746.75,Settled
TXN-202500074,2025-04-24,2025,Q2,CC-500,Finance & Legal,Legal Counsel & Retainers,Wilson Sonsini,28709.96,Settled
TXN-202500075,2025-01-28,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,Workday Inc,24682.61,Settled
TXN-202500076,2025-04-16,2025,Q2,CC-400,Operations,SaaS Licenses & ERP,Notion Labs,48776.32,Settled
TXN-202500077,2025-12-26,2025,Q4,CC-400,Operations,Logistics & Shipping,UPS Supply Chain,3164.21,Cleared
TXN-202500078,2025-08-02,2025,Q3,CC-100,Engineering,Cloud Infrastructure,Snowflake Inc,95848.58,Cleared
TXN-202500079,2026-03-18,2026,Q1,CC-200,Marketing,Content & SEO Agencies,Ahrefs Inc,2983.46,Settled
TXN-202500080,2025-06-14,2025,Q2,CC-100,Engineering,Cloud Infrastructure,Amazon Web Services,45250.26,Settled
TXN-202500081,2026-01-21,2026,Q1,CC-500,Finance & Legal,Payroll Processing,Gusto Enterprise,8936.27,Settled
TXN-202500082,2026-03-17,2026,Q1,CC-300,Sales,Client Hospitality,OpenTable Concierge,1753.63,Settled
TXN-202500083,2025-08-03,2025,Q3,CC-200,Marketing,Paid Performance Ads,Google Ads,117591.61,Settled
TXN-202500084,2026-04-06,2026,Q2,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,22373.58,Settled
TXN-202500085,2025-10-28,2025,Q4,CC-200,Marketing,Brand & Creative Assets,Figma Inc,3566.68,Settled
TXN-202500086,2025-02-22,2025,Q1,CC-200,Marketing,Content & SEO Agencies,Omniscient Media,5791.72,Settled
TXN-202500087,2025-03-18,2025,Q1,CC-400,Operations,Professional Services,McKinsey & Co,37547.84,Audited
TXN-202500088,2026-04-13,2026,Q2,CC-300,Sales,Travel & Entertainment,Marriott International,1549.81,Settled
TXN-202500089,2025-01-07,2025,Q1,CC-600,Product & Design,Design Contractors,Design Pickle,12151.94,Settled
TXN-202500090,2026-01-11,2026,Q1,CC-200,Marketing,Paid Performance Ads,TikTok Ads,87893.81,Cleared
TXN-202500091,2026-04-06,2026,Q2,CC-100,Engineering,DevOps Tooling,Sentry,15552.36,Cleared
TXN-202500092,2026-02-27,2026,Q1,CC-400,Operations,Professional Services,Accenture Strategy,65755.59,Settled
TXN-202500093,2025-08-07,2025,Q3,CC-400,Operations,Professional Services,McKinsey & Co,68442.23,Settled
TXN-202500094,2025-08-12,2025,Q3,CC-300,Sales,Client Hospitality,Sweetgreen Enterprise Catering,3156.07,Cleared
TXN-202500095,2026-05-29,2026,Q2,CC-400,Operations,Office Facilities & Lease,CBRE Property Management,52842.31,Settled
TXN-202500096,2025-05-23,2025,Q2,CC-200,Marketing,Content & SEO Agencies,Refine Labs,4700.26,Settled
TXN-202500097,2026-06-01,2026,Q2,CC-300,Sales,Travel & Entertainment,Marriott International,6755.8,Settled
TXN-202500098,2025-09-16,2025,Q3,CC-200,Marketing,Brand & Creative Assets,Getty Images,9083.44,Settled
TXN-202500099,2026-07-15,2026,Q3,CC-100,Engineering,Salaries & Contractors,Internal Payroll Clearing,167784.49,Settled
TXN-202500100,2025-06-15,2025,Q2,CC-100,Engineering,Salaries & Contractors,Robert Half,64308.12,Cleared
TXN-202500101,2026-07-30,2026,Q3,CC-100,Engineering,DevOps Tooling,Atlassian Jira,4875.14,Settled
TXN-202500102,2026-04-14,2026,Q2,CC-300,Sales,Client Hospitality,OpenTable Concierge,4479.21,Settled
TXN-202500103,2025-02-17,2025,Q1,CC-200,Marketing,Content & SEO Agencies,Semrush,10012.37,Settled
TXN-202500104,2025-10-06,2025,Q4,CC-300,Sales,Client Hospitality,Sweetgreen Enterprise Catering,2303.14,Audited
TXN-202500105,2025-10-01,2025,Q4,CC-600,Product & Design,Prototyping Software,Figma Inc,3228.41,Settled
TXN-202500106,2025-05-25,2025,Q2,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,10228.8,Cleared
TXN-202500107,2025-08-17,2025,Q3,CC-200,Marketing,Content & SEO Agencies,Refine Labs,15609.76,Settled
TXN-202500108,2026-06-27,2026,Q2,CC-400,Operations,Logistics & Shipping,FedEx Corporate,2137.05,Settled
TXN-202500109,2025-11-12,2025,Q4,CC-100,Engineering,Cloud Infrastructure,Snowflake Inc,84955.64,Cleared
TXN-202500110,2025-03-14,2025,Q1,CC-100,Engineering,Cloud Infrastructure,Cloudflare,70338.2,Settled
TXN-202500111,2025-03-27,2025,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,26496.13,Cleared
TXN-202500112,2025-12-28,2025,Q4,CC-100,Engineering,Salaries & Contractors,Internal Payroll Clearing,115724.01,Cleared
TXN-202500113,2025-01-18,2025,Q1,CC-600,Product & Design,Prototyping Software,Figma Inc,1951.78,Settled
TXN-202500114,2025-10-01,2025,Q4,CC-500,Finance & Legal,Treasury & Bank Fees,Stripe Treasury,1479.9,Settled
TXN-202500115,2025-03-24,2025,Q1,CC-300,Sales,CRM & Enablement Software,HubSpot Enterprise,8539.76,Settled
TXN-202500116,2025-12-31,2025,Q4,CC-500,Finance & Legal,Payroll Processing,ADP TotalSource,5596.91,Settled
TXN-202500117,2025-04-12,2025,Q2,CC-500,Finance & Legal,Treasury & Bank Fees,Stripe Treasury,1628.79,Cleared
TXN-202500118,2025-07-10,2025,Q3,CC-100,Engineering,Salaries & Contractors,Robert Half,37096.4,Cleared
TXN-202500119,2025-10-14,2025,Q4,CC-600,Product & Design,Prototyping Software,Miro Collaboration,2233.62,Settled
TXN-202500120,2025-10-12,2025,Q4,CC-300,Sales,Client Hospitality,OpenTable Concierge,1339.04,Settled
TXN-202500121,2025-04-07,2025,Q2,CC-500,Finance & Legal,External Audit & Tax,KPMG LLP,24080.33,Settled
TXN-202500122,2025-09-12,2025,Q3,CC-600,Product & Design,Design Contractors,Toptal Design,15851.71,Settled
TXN-202500123,2025-06-28,2025,Q2,CC-200,Marketing,Content & SEO Agencies,Semrush,17319.5,Audited
TXN-202500124,2026-06-28,2026,Q2,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,78532.33,Settled
TXN-202500125,2025-09-20,2025,Q3,CC-100,Engineering,Salaries & Contractors,Turing Tech Talent,171010.08,Settled
TXN-202500126,2025-12-14,2025,Q4,CC-200,Marketing,Events & Sponsorships,AWS re:Invent,6032.73,Audited
TXN-202500127,2025-01-14,2025,Q1,CC-500,Finance & Legal,Legal Counsel & Retainers,Wilson Sonsini,8758.03,Settled
TXN-202500128,2025-11-23,2025,Q4,CC-500,Finance & Legal,Treasury & Bank Fees,JPMorgan Chase,2604.56,Cleared
TXN-202500129,2026-06-13,2026,Q2,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,100844.93,Cleared
TXN-202500130,2025-01-20,2025,Q1,CC-300,Sales,Travel & Entertainment,Uber for Business,1449.61,Settled
TXN-202500131,2026-05-21,2026,Q2,CC-200,Marketing,Events & Sponsorships,Web Summit,50210.83,Settled
TXN-202500132,2025-09-08,2025,Q3,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,12414.97,Cleared
TXN-202500133,2025-05-14,2025,Q2,CC-100,Engineering,Cloud Infrastructure,Google Cloud Platform,81452.99,Settled
TXN-202500134,2025-06-30,2025,Q2,CC-200,Marketing,Content & SEO Agencies,Semrush,10718.69,Settled
TXN-202500135,2025-05-11,2025,Q2,CC-600,Product & Design,Prototyping Software,Miro Collaboration,609.16,Settled
TXN-202500136,2026-01-27,2026,Q1,CC-200,Marketing,Events & Sponsorships,Web Summit,25343.98,Audited
TXN-202500137,2025-03-12,2025,Q1,CC-300,Sales,Client Hospitality,Topgolf Events,3291.97,Cleared
TXN-202500138,2025-02-19,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,NetSuite ERP,40231.38,Settled
TXN-202500139,2025-04-20,2025,Q2,CC-200,Marketing,Events & Sponsorships,Web Summit,28959.86,Settled
TXN-202500140,2025-03-16,2025,Q1,CC-700,Customer Success,Ticketing & Support Tools,Freshdesk,4507.73,Settled
TXN-202500141,2025-01-21,2025,Q1,CC-700,Customer Success,Customer Advisory Board,Four Seasons Hotels,28821.6,Cleared
TXN-202500142,2026-02-08,2026,Q1,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,21491.73,Settled
TXN-202500143,2026-03-09,2026,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,10403.15,Settled
TXN-202500144,2026-04-09,2026,Q2,CC-200,Marketing,Paid Performance Ads,Meta For Business,65146.8,Audited
TXN-202500145,2026-04-03,2026,Q2,CC-200,Marketing,Events & Sponsorships,SaaStr Annual,33153.96,Settled
TXN-202500146,2025-10-21,2025,Q4,CC-100,Engineering,Salaries & Contractors,Robert Half,22532.13,Settled
TXN-202500147,2025-10-16,2025,Q4,CC-300,Sales,CRM & Enablement Software,HubSpot Enterprise,23154.06,Settled
TXN-202500148,2026-07-25,2026,Q3,CC-300,Sales,CRM & Enablement Software,HubSpot Enterprise,4695.35,Settled
TXN-202500149,2026-01-27,2026,Q1,CC-100,Engineering,Salaries & Contractors,Turing Tech Talent,145528.56,Settled
TXN-202500150,2026-03-30,2026,Q1,CC-100,Engineering,Cloud Infrastructure,Microsoft Azure,74830.67,Settled
TXN-202500151,2025-12-09,2025,Q4,CC-600,Product & Design,Prototyping Software,Miro Collaboration,3016.32,Cleared
TXN-202500152,2026-07-04,2026,Q3,CC-100,Engineering,DevOps Tooling,Atlassian Jira,13394.33,Settled
TXN-202500153,2025-02-03,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,8327.33,Settled
TXN-202500154,2025-05-12,2025,Q2,CC-200,Marketing,Paid Performance Ads,TikTok Ads,110321.94,Cleared
TXN-202500155,2025-12-30,2025,Q4,CC-700,Customer Success,Customer Advisory Board,Ritz-Carlton Conference Suites,24808.2,Settled
TXN-202500156,2025-11-29,2025,Q4,CC-100,Engineering,Salaries & Contractors,Turing Tech Talent,101469.01,Settled
TXN-202500157,2025-03-24,2025,Q1,CC-300,Sales,Client Hospitality,OpenTable Concierge,2322.2,Cleared
TXN-202500158,2025-11-11,2025,Q4,CC-400,Operations,Professional Services,McKinsey & Co,27755.39,Cleared
TXN-202500159,2026-01-17,2026,Q1,CC-100,Engineering,DevOps Tooling,Atlassian Jira,12108.39,Settled
TXN-202500160,2025-01-08,2025,Q1,CC-400,Operations,SaaS Licenses & ERP,NetSuite ERP,21610.79,Settled
TXN-202500161,2026-03-21,2026,Q1,CC-200,Marketing,Brand & Creative Assets,Canva Enterprise,3363.43,Cleared
TXN-202500162,2025-04-23,2025,Q2,CC-300,Sales,Travel & Entertainment,Marriott International,3116.11,Settled
TXN-202500163,2025-11-02,2025,Q4,CC-300,Sales,Travel & Entertainment,Hilton Hotels,6483.2,Cleared
TXN-202500164,2025-03-25,2025,Q1,CC-300,Sales,Commissions & Incentives,Direct Commission Disbursal,19480.1,Settled
TXN-202500165,2025-05-24,2025,Q2,CC-100,Engineering,Hardware & Peripherals,CDW Logistics,11087.13,Cleared
TXN-202500166,2025-07-09,2025,Q3,CC-500,Finance & Legal,Payroll Processing,ADP TotalSource,6151.45,Settled
TXN-202500167,2025-02-25,2025,Q1,CC-200,Marketing,Content & SEO Agencies,Refine Labs,12542.1,Settled
TXN-202500168,2026-02-16,2026,Q1,CC-100,Engineering,Salaries & Contractors,Internal Payroll Clearing,102492.87,Settled
TXN-202500169,2025-01-21,2025,Q1,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,3732.21,Settled
TXN-202500170,2025-10-27,2025,Q4,CC-300,Sales,Client Hospitality,OpenTable Concierge,4480.59,Settled
TXN-202500171,2026-07-07,2026,Q3,CC-300,Sales,CRM & Enablement Software,ZoomInfo Technologies,33349.17,Settled
TXN-202500172,2025-10-18,2025,Q4,CC-100,Engineering,DevOps Tooling,Datadog,2089.58,Settled
TXN-202500173,2025-02-25,2025,Q1,CC-300,Sales,Travel & Entertainment,Delta Airlines,4307.8,Settled
TXN-202500174,2025-04-29,2025,Q2,CC-100,Engineering,Salaries & Contractors,Internal Payroll Clearing,33761.76,Settled
TXN-202500175,2026-04-14,2026,Q2,CC-300,Sales,Travel & Entertainment,Uber for Business,483.08,Settled
TXN-202500176,2026-02-05,2026,Q1,CC-100,Engineering,DevOps Tooling,GitHub Enterprise,6212.36,Settled
TXN-202500177,2025-11-15,2025,Q4,CC-400,Operations,Professional Services,Accenture Strategy,95725.75,Cleared
TXN-202500178,2025-02-03,2025,Q1,CC-200,Marketing,Brand & Creative Assets,Figma Inc,10600.21,Settled
TXN-202500179,2026-03-31,2026,Q1,CC-600,Product & Design,Design Contractors,Superside Agency,19680.56,Settled
TXN-202500180,2025-09-10,2025,Q3,CC-100,Engineering,Cloud Infrastructure,Google Cloud Platform,8701.9,Settled
TXN-202500181,2026-06-06,2026,Q2,CC-200,Marketing,Paid Performance Ads,Google Ads,50216.78,Settled
TXN-202500182,2026-03-16,2026,Q1,CC-100,Engineering,DevOps Tooling,Sentry,2591.16,Settled
TXN-202500183,2026-05-11,2026,Q2,CC-600,Product & Design,Prototyping Software,Figma Inc,1579.92,Settled
TXN-202500184,2025-02-04,2025,Q1,CC-500,Finance & Legal,External Audit & Tax,KPMG LLP,30767.89,Settled
TXN-202500185,2026-06-29,2026,Q2,CC-100,Engineering,Salaries & Contractors,Robert Half,191103.26,Settled
TXN-202500186,2025-01-25,2025,Q1,CC-300,Sales,Client Hospitality,Topgolf Events,2617.58,Settled
TXN-202500187,2025-06-24,2025,Q2,CC-500,Finance & Legal,Treasury & Bank Fees,JPMorgan Chase,2253.0,Audited
TXN-202500188,2026-06-07,2026,Q2,CC-300,Sales,Travel & Entertainment,Delta Airlines,7801.19,Audited
TXN-202500189,2026-06-30,2026,Q2,CC-300,Sales,Travel & Entertainment,Delta Airlines,2904.71,Cleared
TXN-202500190,2025-06-13,2025,Q2,CC-100,Engineering,Hardware & Peripherals,Apple Enterprise,7530.76,Settled
TXN-202500191,2026-02-05,2026,Q1,CC-100,Engineering,DevOps Tooling,Datadog,2662.03,Settled
TXN-202500192,2026-06-08,2026,Q2,CC-600,Product & Design,UX Research & UserTesting,Optimal Workshop,4774.71,Settled
TXN-202500193,2025-07-27,2025,Q3,CC-600,Product & Design,UX Research & UserTesting,Maze Analytics,10551.98,Settled
TXN-202500194,2025-04-29,2025,Q2,CC-300,Sales,Commissions & Incentives,Spiff Commission Engine,25401.3,Cleared
TXN-202500195,2025-10-09,2025,Q4,CC-200,Marketing,Paid Performance Ads,TikTok Ads,118570.87,Cleared
TXN-202500196,2025-09-26,2025,Q3,CC-200,Marketing,Brand & Creative Assets,Adobe Systems,8464.01,Settled
TXN-202500197,2026-05-10,2026,Q2,CC-400,Operations,Office Facilities & Lease,Regus Workspaces,29143.59,Settled
TXN-202500198,2025-08-03,2025,Q3,CC-600,Product & Design,UX Research & UserTesting,Maze Analytics,4102.84,Settled
TXN-202500199,2025-12-25,2025,Q4,CC-600,Product & Design,UX Research & UserTesting,Maze Analytics,9059.07,Settled
TXN-202500200,2025-06-22,2025,Q2,CC-400,Operations,Logistics & Shipping,UPS Supply Chain,5425.04,Cleared
